VehicleNumber,EventTime,Duration_min,EventCategory,Date,Hour,Weekday
1,2025-12-08 06:13:33,3,Klammer Timeout,2025-12-08,6,Monday
1,2025-12-08 23:12:50,1,Sonstige,2025-12-08,23,Monday
1,2025-12-09 08:38:09,2,Klammer Timeout,2025-12-09,8,Tuesday
1,2025-12-09 16:19:23,0,Handbetrieb,2025-12-09,16,Tuesday
1,2025-12-09 16:29:19,0,Sicherheitsfeld / SICK,2025-12-09,16,Tuesday
1,2025-12-09 22:36:36,1,Sonstige,2025-12-09,22,Tuesday
1,2025-12-10 16:53:45,5,Sicherheitsfeld / SICK,2025-12-10,16,Wednesday
1,2025-12-10 16:58:51,0,Sonstige,2025-12-10,16,Wednesday
1,2025-12-10 20:55:40,2,Notstopp (sonstige),2025-12-10,20,Wednesday
1,2025-12-11 19:26:11,3,Notstopp (sonstige),2025-12-11,19,Thursday
1,2025-12-12 18:32:56,1,Handbetrieb,2025-12-12,18,Friday
1,2025-12-12 23:23:41,2,Sonstige,2025-12-12,23,Friday
1,2025-12-13 02:45:08,25,Sicherheitsfeld / SICK,2025-12-13,2,Saturday
1,2025-12-13 13:29:39,0,Sonstige,2025-12-13,13,Saturday
1,2025-12-13 17:21:55,2,Handbetrieb,2025-12-13,17,Saturday
1,2025-12-13 17:27:54,4,Sonstige,2025-12-13,17,Saturday
1,2025-12-14 17:55:08,4,Handbetrieb,2025-12-14,17,Sunday
1,2025-12-15 06:06:53,0,Sonstige,2025-12-15,6,Monday
1,2025-12-15 06:39:20,20,Sonstige,2025-12-15,6,Monday
1,2025-12-15 13:01:02,3,Klammer Timeout,2025-12-15,13,Monday
1,2025-12-16 15:02:20,14,Klammer Timeout,2025-12-16,15,Tuesday
1,2025-12-17 00:26:50,4,Notstopp (sonstige),2025-12-17,0,Wednesday
1,2025-12-18 00:58:24,2,Sonstige,2025-12-18,0,Thursday
1,2025-12-18 13:26:18,1,Sonstige,2025-12-18,13,Thursday
1,2025-12-18 21:34:16,0,Notstopp (sonstige),2025-12-18,21,Thursday
1,2025-12-19 05:20:06,0,Sonstige,2025-12-19,5,Friday
1,2026-01-08 11:12:48,0,Sonstige,2026-01-08,11,Thursday
1,2026-01-09 06:18:31,0,Sonstige,2026-01-09,6,Friday
1,2026-01-09 06:51:01,129,Sonstige,2026-01-09,6,Friday
1,2026-01-10 06:20:08,0,Sonstige,2026-01-10,6,Saturday
1,2026-01-10 15:24:47,5,Notstopp (sonstige),2026-01-10,15,Saturday
1,2026-01-10 18:50:40,2,Sonstige,2026-01-10,18,Saturday
1,2026-01-11 18:48:41,3,Sonstige,2026-01-11,18,Sunday
2,2025-12-07 12:55:15,19,Notstopp (sonstige),2025-12-07,12,Sunday
2,2025-12-07 13:14:18,10,Sonstige,2025-12-07,13,Sunday
2,2025-12-08 23:27:08,2,Notstopp (sonstige),2025-12-08,23,Monday
2,2025-12-09 04:45:27,9,Klammer Timeout,2025-12-09,4,Tuesday
2,2025-12-11 06:32:31,5,Sonstige,2025-12-11,6,Thursday
2,2025-12-13 01:06:26,7,Navigation,2025-12-13,1,Saturday
2,2025-12-13 01:14:28,2,Navigation,2025-12-13,1,Saturday
2,2025-12-13 07:39:35,6,Blockung,2025-12-13,7,Saturday
2,2025-12-13 07:51:39,1,Notstopp (sonstige),2025-12-13,7,Saturday
2,2025-12-13 19:20:19,1,Sicherheitsfeld / SICK,2025-12-13,19,Saturday
2,2025-12-13 19:33:13,2,Handbetrieb,2025-12-13,19,Saturday
2,2025-12-13 20:16:41,0,Sonstige,2025-12-13,20,Saturday
2,2025-12-13 20:49:41,847,Sonstige,2025-12-13,20,Saturday
2,2025-12-14 11:54:42,0,Handbetrieb,2025-12-14,11,Sunday
2,2025-12-14 14:38:41,0,Notstopp (sonstige),2025-12-14,14,Sunday
2,2025-12-15 13:42:02,2,Notstopp (sonstige),2025-12-15,13,Monday
2,2025-12-15 20:27:31,4,Notstopp (sonstige),2025-12-15,20,Monday
2,2025-12-16 15:54:02,0,Sonstige,2025-12-16,15,Tuesday
2,2025-12-17 07:47:27,4,Sonstige,2025-12-17,7,Wednesday
2,2025-12-17 08:08:42,0,Notstopp (sonstige),2025-12-17,8,Wednesday
4,2025-12-08 11:18:26,2,Notstopp (sonstige),2025-12-08,11,Monday
4,2025-12-08 12:37:01,3,Sonstige,2025-12-08,12,Monday
4,2025-12-08 12:54:40,62,Handbetrieb,2025-12-08,12,Monday
4,2025-12-09 21:32:55,1,Handbetrieb,2025-12-09,21,Tuesday
