VehicleNumber,EventTime,risk_next2h,events_6h,downtime_6h,events_24h,downtime_24h
9,2026-01-12 01:37:04,0.7450809338159798,8.0,3.0,11.0,7.0
16,2025-12-21 12:47:37,0.700524204405079,5.0,6.0,23.0,41.0
15,2026-01-11 20:07:36,0.6960173007380307,11.0,31.0,12.0,33.0
25,2026-01-10 21:40:27,0.6167957432142928,9.0,28.0,9.0,28.0
1,2026-01-10 18:50:40,0.6114282079999287,2.0,7.0,3.0,7.0
4,2026-01-10 20:57:32,0.5776418165032264,4.0,4.0,9.0,19.0
27,2026-01-10 07:52:33,0.5645617600103868,2.0,3.0,5.0,6.0
19,2026-01-10 06:13:36,0.5348667318396817,2.0,2.0,2.0,2.0
5,2026-01-11 13:21:41,0.5302911013844898,2.0,10.0,7.0,22.0
11,2026-01-12 08:32:00,0.5302301850875238,3.0,2.0,3.0,2.0
17,2026-01-11 17:42:16,0.5207779210480965,5.0,21.0,11.0,92.0
7,2026-01-10 12:53:37,0.5072288974298373,4.0,34.0,5.0,923.0
13,2026-01-11 17:50:13,0.505961883516523,3.0,7.0,13.0,24.0
14,2026-01-10 21:05:06,0.47546010936171484,3.0,4.0,5.0,13.0
18,2026-01-11 13:31:46,0.4710117609659031,2.0,4.0,3.0,7.0
10,2026-01-11 20:06:57,0.4584204337397098,3.0,18.0,5.0,29.0
22,2026-01-11 14:30:01,0.45760198798787505,2.0,3.0,3.0,12.0
24,2026-01-11 17:24:56,0.4515025623008064,2.0,13.0,2.0,13.0
23,2026-01-11 20:46:25,0.422138883920023,2.0,5.0,2.0,5.0
26,2026-01-12 18:04:42,0.4104572372571749,2.0,6.0,3.0,10.0
20,2026-01-11 18:14:14,0.38943374114836765,2.0,0.0,2.0,0.0
6,2026-01-11 15:23:02,0.3741939451860011,2.0,2.0,3.0,3.0
8,2026-01-12 10:12:31,0.3729672351170642,1.0,4.0,8.0,49.0
2,2025-12-17 07:47:27,0.3021114835804105,1.0,4.0,2.0,4.0
12,2026-01-12 16:24:56,0.2927508577102948,1.0,2.0,4.0,18.0
