VehicleNumber,ref_time,time_from_prev_h_clipped,events_6h,downtime_6h,events_24h,downtime_24h,hour_sin,hour_cos,weekday_sin,weekday_cos,top3_causes_str,risk_next1h
1,2026-01-12 18:34:52,23.76972222222222,0,0,1,3,-0.9890158633619169,0.1478094111296101,0.0,1.0,Sonstige,0.2717491953632648
2,2026-01-12 18:34:52,24.0,0,0,0,0,-0.9890158633619169,0.1478094111296101,0.0,1.0,"Notstopp (sonstige), Sonstige, Handbetrieb",0.2602640802564535
4,2026-01-12 18:34:52,7.511666666666667,0,0,1,8,-0.9890158633619169,0.1478094111296101,0.0,1.0,Navigation,0.08697616908710863
5,2026-01-12 18:34:52,24.0,0,0,0,0,-0.9890158633619169,0.1478094111296101,0.0,1.0,"Notstopp (sonstige), Sonstige, Handbetrieb",0.2602640802564535
6,2026-01-12 18:34:52,24.0,0,0,0,0,-0.9890158633619169,0.1478094111296101,0.0,1.0,"Sonstige, Notstopp (sonstige), Klammer Timeout",0.10807017543859648
7,2026-01-12 18:34:52,24.0,0,0,0,0,-0.9890158633619169,0.1478094111296101,0.0,1.0,"Sonstige, Handbetrieb, Notstopp (sonstige)",0.21096281767013472
8,2026-01-12 18:34:52,5.6258333333333335,1,2,2,6,-0.9890158633619169,0.1478094111296101,0.0,1.0,"Klammer Timeout, Notstopp (sonstige)",0.18721540764349334
9,2026-01-12 18:34:52,16.482777777777777,0,0,4,4,-0.9890158633619169,0.1478094111296101,0.0,1.0,"Sonstige, Beladung nicht plausibel, Handbetrieb",0.43667362597575776
10,2026-01-12 18:34:52,5.689166666666667,1,7,2,16,-0.9890158633619169,0.1478094111296101,0.0,1.0,"Klammer Timeout, Notstopp (sonstige)",0.19953130245278178
11,2026-01-12 18:34:52,5.522222222222222,1,5,2,7,-0.9890158633619169,0.1478094111296101,0.0,1.0,"Notstopp (sonstige), Sonstige",0.03203319502074689
12,2026-01-12 18:34:52,1.2258333333333333,2,5,2,5,-0.9890158633619169,0.1478094111296101,0.0,1.0,"Klammer Timeout, Sonstige",0.16306866165728437
13,2026-01-12 18:34:52,11.807777777777778,0,0,1,21,-0.9890158633619169,0.1478094111296101,0.0,1.0,Handbetrieb,0.5988979639143054
14,2026-01-12 18:34:52,24.0,0,0,0,0,-0.9890158633619169,0.1478094111296101,0.0,1.0,"Sonstige, Notstopp (sonstige), Handbetrieb",0.2602640802564535
15,2026-01-12 18:34:52,22.474166666666665,0,0,2,13,-0.9890158633619169,0.1478094111296101,0.0,1.0,Notstopp (sonstige),0.2703613590108776
16,2026-01-12 18:34:52,24.0,0,0,0,0,-0.9890158633619169,0.1478094111296101,0.0,1.0,"Sonstige, Handbetrieb, Notstopp (sonstige)",0.07539790332149211
17,2026-01-12 18:34:52,24.0,0,0,0,0,-0.9890158633619169,0.1478094111296101,0.0,1.0,"Sonstige, Notstopp (sonstige), Handbetrieb",0.2602640802564535
18,2026-01-12 18:34:52,24.0,0,0,0,0,-0.9890158633619169,0.1478094111296101,0.0,1.0,"Sonstige, Handbetrieb, Notstopp (sonstige)",0.310522362394788
19,2026-01-12 18:34:52,24.0,0,0,0,0,-0.9890158633619169,0.1478094111296101,0.0,1.0,"Notstopp (sonstige), Sonstige, Klammer Timeout",0.2602640802564535
20,2026-01-12 18:34:52,23.324166666666667,0,0,1,0,-0.9890158633619169,0.1478094111296101,0.0,1.0,Sonstige,0.075
22,2026-01-12 18:34:52,7.305833333333333,0,0,1,15,-0.9890158633619169,0.1478094111296101,0.0,1.0,Notstopp (sonstige),0.17291223404255318
23,2026-01-12 18:34:52,21.8075,0,0,2,7,-0.9890158633619169,0.1478094111296101,0.0,1.0,Notstopp (sonstige),0.1509420976815372
24,2026-01-12 18:34:52,24.0,0,0,0,0,-0.9890158633619169,0.1478094111296101,0.0,1.0,"Sonstige, Klammer Timeout, Handbetrieb",0.2602640802564535
25,2026-01-12 18:34:52,10.003333333333334,0,0,1,0,-0.9890158633619169,0.1478094111296101,0.0,1.0,Sonstige,0.18634105284635788
26,2026-01-12 18:34:52,0.0,3,8,4,12,-0.9890158633619169,0.1478094111296101,0.0,1.0,"Notstopp (sonstige), Sonstige",0.21606849972849493
27,2026-01-12 18:34:52,24.0,0,0,0,0,-0.9890158633619169,0.1478094111296101,0.0,1.0,"Notstopp (sonstige), Sonstige, Klammer Timeout",0.6100344634542118
